noise_scale,circuit_type,state_label,theta,phi,repeat,backend,physical_qubits,fidelity,error_detection_rate,shots
2.0,physical,|1>,3.141592653589793,0.0,2,ibm_torino,"[66, 67, 74]",0.96899,0.0,0
2.0,logical,|1>,3.141592653589793,0.0,2,ibm_torino,"[60, 61, 62, 63, 73, 64]",0.987765,0.1445,0
2.5,physical,|+>,1.5707963267948966,0.0,0,ibm_torino,"[66, 67, 74]",0.962545,0.0,0
2.5,logical,|+>,1.5707963267948966,0.0,0,ibm_torino,"[60, 61, 62, 63, 73, 64]",0.942949,0.1725,0
2.5,physical,|+>,1.5707963267948966,0.0,1,ibm_torino,"[66, 67, 74]",0.962545,0.0,0
2.5,logical,|+>,1.5707963267948966,0.0,1,ibm_torino,"[60, 61, 62, 63, 73, 64]",0.942949,0.1725,0
2.5,physical,|+>,1.5707963267948966,0.0,2,ibm_torino,"[66, 67, 74]",0.962545,0.0,0
2.5,logical,|+>,1.5707963267948966,0.0,2,ibm_torino,"[60, 61, 62, 63, 73, 64]",0.942949,0.1725,0
2.5,physical,|1>,3.141592653589793,0.0,0,ibm_torino,"[66, 67, 74]",0.961389,0.0,0
2.5,logical,|1>,3.141592653589793,0.0,0,ibm_torino,"[60, 61, 62, 63, 73, 64]",0.984436,0.1766,0
2.5,physical,|1>,3.141592653589793,0.0,1,ibm_torino,"[66, 67, 74]",0.961389,0.0,0
2.5,logical,|1>,3.141592653589793,0.0,1,ibm_torino,"[60, 61, 62, 63, 73, 64]",0.984436,0.1766,0
2.5,physical,|1>,3.141592653589793,0.0,2,ibm_torino,"[66, 67, 74]",0.961389,0.0,0
2.5,logical,|1>,3.141592653589793,0.0,2,ibm_torino,"[60, 61, 62, 63, 73, 64]",0.984436,0.1766,0
